,title,description,url,publishedAt,content,domain,topic,injuries,trades,retirements,draft,all-stars,playoffs,rookies,highlights,fantasy
612,OG Anunoby (25 points) Highlights vs. Minnesota Timberwolves,OG Anunoby (25 points) Highlights vs. Minnesota Timberwolves,http://www.nba.com/video/2020/02/10/0021900796-og-anunoby-25-points-highlights-vs-minnesota-timberwolves,2020-02-11T03:33:42Z,,nba.com,highlights,,,,,,,,,
613,Magic Deliver Outstanding Offensive Effort Against Hawks,"ORLANDO – If you like offense and a fast pace of play, Monday’s game between the Orlando Magic and Atlanta Hawks was certainly for you.  The Magic recorded season highs in points (135) and 3-pointers made (18) and all five Magic starters shot at least 50 perc…",https://www.nba.com/magic/magic-deliver-outstanding-offensive-effort-against-hawks-20200210,2020-02-11T03:28:43Z,"ORLANDO If you like offense and a fast pace of play, Mondays game between the Orlando Magic and Atlanta Hawks was certainly for you.
The Magic recorded season highs in points (135) and 3-pointers made (18) and all five Magic starters shot at least 50 percent… [+943 chars]",nba.com,highlights,,,,,,,,,
614,Kyle Lowry (27 points) Highlights vs. Minnesota Timberwolves,Kyle Lowry (27 points) Highlights vs. Minnesota Timberwolves,http://www.nba.com/video/2020/02/10/0021900796-kyle-lowry-27-points-highlights-vs-minnesota-timberwolves,2020-02-11T03:24:55Z,,nba.com,highlights,,,,,,,,,
615,Ennis III Makes Big Impact in Magic Debut,"ORLANDO – When current Orlando Magic coach Steve Clifford recently dined with former Magic coach Stan Van Gundy, the latter raved to the former about the potentially transformative powers that James Ennis III could have on the team – and in ways other than ju…",https://www.nba.com/magic/ennis-iii-makes-big-impact-magic-debut-20200210,2020-02-11T03:23:48Z,"ORLANDO When current Orlando Magic coach Steve Clifford recently dined with former Magic coach Stan Van Gundy, the latter raved to the former about the potentially transformative powers that James Ennis III could have on the team and in ways other than just a… [+5497 chars]",nba.com,highlights,,,,,,,,,
616,Toronto Raptors vs. Minnesota Timberwolves - Game Highlights,60-Second Recap: Minnesota Timberwolves vs. Toronto Raptors,http://www.nba.com/video/2020/02/10/0021900796-toronto-raptors-vs-minnesota-timberwolves-game-highlights,2020-02-11T03:18:16Z,,nba.com,highlights,,,,,,,,,
617,Dunk by Rudy Gobert in the second quarter,Dunk by Rudy Gobert in the second quarter,http://www.nba.com/video/2020/02/10/0021900798-rudy-gobert-dallas-mavericks-utah-jazz-dunk-2q,2020-02-11T03:16:45Z,,nba.com,highlights,,,,,,,,,
618,Long-range 3-pointer by Fred VanVleet in the fourth quarter,Long-range 3-pointer by Fred VanVleet in the fourth quarter,http://www.nba.com/video/2020/02/10/0021900796-fred-vanvleet-toronto-raptors-minnesota-timberwolves-3-pointer-4q,2020-02-11T03:08:04Z,,nba.com,highlights,,,,,,,,,
619,Milwaukee Bucks with a 12-0 Run vs. Sacramento Kings,Milwaukee Bucks with a 12-0 Run vs. Sacramento Kings,http://www.nba.com/video/2020/02/10/0021900797-milwaukee-bucks-12-0-run-vs-sacramento-kings,2020-02-11T02:58:33Z,,nba.com,highlights,,,,,,,,,
620,"Hornets End Losing Streak, Defense Takes Control in Detroit",,https://www.nba.com/hornets/hornets-end-losing-streak-defense-takes-control-detroit,2020-02-11T02:53:51Z,"Postgame Coverage: Game Gallery | Graham Highlights | Coach Borrego | Devonte' Graham | Jalen McDaniels
One game removed from their worst start of the season, the Charlotte Hornets turned the tables against the Detroit Pistons and broke away late for an 87-7… [+2999 chars]",nba.com,highlights,,,,,,,,,
621,"Nets 106, Pacers 105: Spencer Dinwiddie's Jumper Lifts Brooklyn to Win","The Brooklyn Nets beat the Indiana Pacers, 106-105.",https://www.nba.com/nets/news/recap/2020/02/10/nets-106-pacers-105-spencer-dinwiddies-jumper-lifts-brooklyn-to-win,2020-02-11T02:48:23Z,"Spencer Dinwiddies step-back 20-footer lifted the Brooklyn Nets to a 106-105 win over the Indiana Pacers at Bankers Life Fieldhouse.
Dinwiddies jumper was the last of 11 lead changes in the game, but the Nets trailed for nearly all of the fourth quarter unti… [+2378 chars]",nba.com,highlights,,,,,,,,,
622,Alley-oop dunk by LaMarcus Aldridge in the first quarter,Alley-oop dunk by LaMarcus Aldridge in the first quarter,http://www.nba.com/video/2020/02/10/0021900799-lamarcus-aldridge-denver-nuggets-san-antonio-spurs-dunk-1q,2020-02-11T02:48:09Z,,nba.com,highlights,,,,,,,,,
623,"Domantas Sabonis Posts 23 points, 11 assists & 10 rebounds vs. Brooklyn Nets","Domantas Sabonis Posts 23 points, 11 assists & 10 rebounds vs. Brooklyn Nets",http://www.nba.com/video/2020/02/10/0021900794-domantas-sabonis-posts-23-points-11-assists-10-rebounds-vs-brooklyn,2020-02-11T02:42:20Z,,nba.com,highlights,,,,,,,,,
624,OG Anunoby with 16 Points in the 3rd Quarter vs. Minnesota Timberwolves,OG Anunoby with 16 Points in the 3rd Quarter vs. Minnesota Timberwolves,http://www.nba.com/video/2020/02/10/0021900796-og-anunoby-16-points-3rd-quarter-vs-minnesota-timberwolves,2020-02-11T02:41:04Z,,nba.com,highlights,,,,,,,,,
625,LaMarcus Aldridge with 15 Points in the 1st Quarter vs. Denver Nuggets,LaMarcus Aldridge with 15 Points in the 1st Quarter vs. Denver Nuggets,http://www.nba.com/video/2020/02/10/0021900799-lamarcus-aldridge-15-points-1st-quarter-vs-denver-nuggets,2020-02-11T02:37:20Z,,nba.com,highlights,,,,,,,,,
626,Trae Young (29 points) Highlights vs. Orlando Magic,Trae Young (29 points) Highlights vs. Orlando Magic,http://www.nba.com/video/2020/02/10/0021900795-trae-young-29-points-highlights-vs-orlando-magic,2020-02-11T02:36:08Z,,nba.com,highlights,,,,,,,,,
627,Indiana Pacers vs. Brooklyn Nets - Game Highlights,Indiana Pacers vs. Brooklyn Nets - Game Highlights,http://www.nba.com/video/2020/02/10/0021900794-indiana-pacers-vs-brooklyn-nets-game-highlights,2020-02-11T02:33:47Z,,nba.com,highlights,,,,,,,,,
628,Aaron Gordon (26 points) Highlights vs. Atlanta Hawks,Aaron Gordon (26 points) Highlights vs. Atlanta Hawks,http://www.nba.com/video/2020/02/10/0021900795-aaron-gordon-26-points-highlights-vs-atlanta-hawks,2020-02-11T02:33:13Z,,nba.com,highlights,,,,,,,,,
629,Spencer Dinwiddie with the must-see play,Spencer Dinwiddie with the must-see play,http://www.nba.com/video/2020/02/10/0021900794-spencer-dinwiddie-must-see-play,2020-02-11T02:31:47Z,,nba.com,highlights,,,,,,,,,
630,Assist by Devonte' Graham in the fourth quarter,Assist by Devonte' Graham in the fourth quarter,http://www.nba.com/video/2020/02/10/0021900793-devonte-graham-detroit-pistons-charlotte-hornets-assist-4q,2020-02-11T02:31:04Z,,nba.com,highlights,,,,,,,,,
631,Malcolm Brogdon with an Important Miss vs. Brooklyn Nets in the fourth quarter,Malcolm Brogdon with an Important Miss vs. Brooklyn Nets in the fourth quarter,http://www.nba.com/video/2020/02/10/0021900794-malcolm-brogdon-indiana-pacers-brooklyn-nets-missedshot-4q,2020-02-11T02:31:04Z,,nba.com,highlights,,,,,,,,,
632,Offense coughs and sputters as Pistons score season-low 76 points in loss to Hornets,FAST BREAKDOWN Three quick observations from Monday night’s 87-76 loss to the Charlotte Hornets at Little Caesars Arena,https://www.nba.com/pistons/features/offense-coughs-and-sputters-pistons-score-season-low-76points-loss-hornets,2020-02-11T02:30:45Z,"FAST BREAKDOWN
Three quick observations from Monday nights 87-76 loss to the Charlotte Hornets at Little Caesars Arena
WINTER DOLDRUMS Before a somnambulant first half against Charlotte, the worst first quarter and first half of the Pistons season came back… [+3330 chars]",nba.com,highlights,,,,,,,,,
633,Joe Harris with a 2-pointer vs. Indiana Pacers in the fourth quarter,Joe Harris with a 2-pointer vs. Indiana Pacers in the fourth quarter,http://www.nba.com/video/2020/02/10/0021900794-joe-harris-indiana-pacers-brooklyn-nets-2-pointer-4q,2020-02-11T02:21:26Z,,nba.com,highlights,,,,,,,,,
634,Alley-oop dunk by OG Anunoby in the second quarter,Alley-oop dunk by OG Anunoby in the second quarter,http://www.nba.com/video/2020/02/10/0021900796-og-anunoby-toronto-raptors-minnesota-timberwolves-dunk-2q,2020-02-11T02:05:51Z,,nba.com,highlights,,,,,,,,,
