X1,title,description,url,publishedAt,content,domain
111,"Boomers-eligible Matisse Thybulle's focus is 76ers, not Olympics... yet","Philadelphia rookie Matisse Thybulle is Boomers-eligible, which means an Olympic berth isn't out of the question, but his focus remains of the 76ers' somewhat frustrating season, writes Kane Pitman.",https://www.espn.com/nba/story/_/id/28656039/boomers-eligible-matisse-thybulle-focus-76ers-not-olympics-yet,2020-02-08T01:37:38Z,"MILWAUKEE -- One by one, the Philadelphia 76ers filtered out of the visitors' locker room at Fiserv Forum in Milwaukee.
Philadelphia had just lost their fourth straight game, a 112-101 decision to the Milwaukee Bucks, dropping the Sixers' road record to 9-19… [+3712 chars]",espn.com
114,Magic's Clifford fined $25K after outburst at refs,"Magic coach Steve Clifford was fined $25,000 for screaming at the referees after Thursday's loss to the Knicks. Clifford had to be held back by his assistants during the postgame incident.",https://www.espn.com/nba/story/_/id/28655816/magic-steve-clifford-fined-25000-screaming-officials-postgame,2020-02-08T00:55:22Z,"Orlando Magic coach Steve Clifford was fined $25,000 for verbally abusing game officials, the league announced Friday.
The incident occurred following the conclusion of the Magic's 105-103 loss to the New York Knicks on Thursday.
Clifford screamed at the re… [+1086 chars]",espn.com
115,Sources: Collison to decide on return next week,"Free-agent guard Darren Collison will meet with his agent next week to decide whether he wants to pursue a comeback to the NBA, sources told ESPN's Adrian Wojnarowski. If so, he'd then meet with both the Lakers and Clippers, sources said.",https://www.espn.com/nba/story/_/id/28655771/sources-darren-collison-decide-potential-return-next-week,2020-02-08T00:39:39Z,"Free-agent guard Darren Collison has a meeting set with his agent, Bill Duffy, early next week to finalize a decision on a potential comeback, sources told ESPN's Adrian Wojnarowski on Friday.
Upon a decision to return, Duffy's next step will be to set up fo… [+1515 chars]",espn.com
118,Sources: Collison to decide on return next week,"Free agent guard Darren Collison will meet with his agent, Bill Duffy, next week to decide whether he wants to pursue a comeback to the NBA, sources tell ESPN's Adrian Wojnarowski. If so, he'd then meet with both the Lakers and Clippers.",https://www.espn.com/nba/story/_/id/28655771/darren-collison-decide-potential-return-next-week,2020-02-08T00:26:08Z,"Free agent guard Darren Collison has a meeting set with his agent, Bill Duffy, early next week in order to finalize a decision on a potential comeback, sources told ESPN's Adrian Wojnarowski.
Upon a decision to return, Duffy's next step will be to set up for… [+1508 chars]",espn.com
123,Nuggets request waivers on new guard Green,"The Nuggets have requested waivers on guard Gerald Green, whom they acquired from Houston as part of the 12-player, four-team trade with the Rockets, Timberwolves and Hawks.",https://www.espn.com/nba/story/_/id/28655735/nuggets-request-waivers-newly-acquired-guard-gerald-green,2020-02-08T00:00:34Z,"DENVER -- The Nuggets have requested waivers on guard Gerald Green, whom they acquired from Houston as part of the 12-player, four-team trade with the Rockets, Timberwolves and Hawks earlier this week.
Green has missed the entire season because of a foot inj… [+322 chars]",espn.com
124,Which player had the best sneakers in the NBA during Week 16?,James Harden channeled Allen Iverson in a unique way to pay homage to Kobe Bryant in the best sneakers on court this week.,https://www.espn.com/nba/story/_/id/28661292/which-player-had-best-sneakers-nba-week-16,2020-02-08T23:54:32Z,"When James Harden signed his landmark 13-year Adidas shoe deal worth well over nine figures in 2015, the expectation was that he was committing to the brand's #3StripeLife mantra for the remainder of his career.
As the Houston Rockets took the floor for thei… [+5812 chars]",espn.com
125,Clippers officially waive IT to free up roster spot,"The LA Clippers waived guard Isaiah Thomas on Saturday, two days after acquiring him as part of a three-team trade. The move frees up a second roster spot as the Clippers eye a playoff run.",https://www.espn.com/nba/story/_/id/28661208/clippers-officially-waive-isaiah-thomas-free-roster-spot,2020-02-08T23:43:13Z,"The LA Clippers have officially waived guard Isaiah Thomas, Clippers president of basketball operations Lawrence Frank said Saturday.
Thomas, 31, was acquired Thursday as part of a three-team trade with the Washington Wizards and New York Knicks. The move fr… [+628 chars]",espn.com
138,Sources: Hornets buying out '12 No. 2 pick MKG,"The Hornets are finalizing a buyout of former No. 2 overall pick Michael Kidd-Gilchrist, with the Mavericks emerging as a possible destination for the 26-year-old small forward.",https://www.espn.com/nba/story/_/id/28660020/sources-hornets-buying-2012-no-2-pick-michael-kidd-gilchrist,2020-02-08T18:09:15Z,"The Charlotte Hornets are finalizing a buyout with forward Michael Kidd-Gilchrist, sources tell ESPN's Adrian Wojnarowski and Tim MacMahon.
The Dallas Mavericks have emerged as a possible destination once Kidd-Gilchrist clears waivers, sources said.
The 26-… [+489 chars]",espn.com
139,"Pelicans' Zion, Ingram ruled out vs. Pacers",Pelicans forwards Zion Williamson and Brandon Ingram were ruled out with ankle injuries for Saturday's win over Indiana.,https://www.espn.com/nba/story/_/id/28659980/pelicans-zion-williamson-brandon-ingram-miss-saturday-win-vs-pacers,2020-02-08T18:07:12Z,"INDIANAPOLIS -- The New Orleans Pelicans were without two key players during Saturday night's 124-117 win over the Indiana Pacers.
Rookie Zion Williamson, who went through pregame warmups, and All-Star forward Brandon Ingram were ruled out because of injurie… [+1273 chars]",espn.com
140,"Pelicans' Zion, Ingram game-time decisions",Pelicans forwards Zion Williamson and Brandon Ingram are game-time decisions with ankle injuries for Saturday's matchup against Indiana.,https://www.espn.com/nba/story/_/id/28659980/pelicans-zion-williamson-brandon-ingram-game-decisions-saturday,2020-02-08T18:07:12Z,"INDIANAPOLIS -- The New Orleans Pelicans could be without two key players Saturday night when they take on the Indiana Pacers.
Pelicans coach Alvin Gentry said rookie Zion Williamson and All-Star forward Brandon Ingram would be game-time decisions.
Official… [+1312 chars]",espn.com
141,"Pelicans' Zion, Ingram ruled out vs. Pacers",Pelicans forwards Zion Williamson and Brandon Ingram were ruled out with ankle injuries for Saturday's matchup against Indiana.,https://www.espn.com/nba/story/_/id/28659980/pelicans-zion-williamson-brandon-ingram-miss-saturday-game-vs-pacers,2020-02-08T18:07:12Z,"INDIANAPOLIS -- The New Orleans Pelicans were without two key players Saturday night when they faced the Indiana Pacers.
Rookie Zion Williamson, who went through pregame warmups, and All-Star forward Brandon Ingram were ruled out because of injuries.
Both p… [+1263 chars]",espn.com
142,Sources: Bucks clearing space to sign Williams,"Marvin Williams, who has averaged 10.3 points and 5.2 rebounds over 15 seasons, will sign with the Bucks for the veterans' prorated minimum ($956,000) after the team waives Dragan Bender to make room, sources told ESPN.",https://www.espn.com/nba/story/_/id/28659756/sources-bucks-clearing-space-sign-marvin-williams,2020-02-08T16:27:53Z,"The Milwaukee Bucks are clearing the way to sign forward Marvin Williams, as soon as Monday, by waiving Dragan Bender, league sources told ESPN.
Williams' buyout is complete with the Charlotte Hornets and he will be waived as soon Saturday. He will clear wai… [+1233 chars]",espn.com
158,Lakers still in awe over LeBron's stunning dunk,"One day after his double-clutch reverse dunk, a near carbon-copy of a move Kobe Bryant made in November 2001, the Lakers were still talking about LeBron James' amazing basket.",https://www.espn.com/nba/story/_/id/28663888/lebron-james-soaring-dunk-nearly-identical-kobe-bryant-2001-move,2020-02-09T07:25:07Z,"SAN FRANCISCO -- The Golden State Warriors honored Kobe Bryant, his daughter Gianna and the seven other victims of the horrific helicopter crash in Calabasas, California on Saturday, but after the game the Los Angeles Lakers were still talking about LeBron Ja… [+3427 chars]",espn.com
166,Newly acquired Wiggins scores 24 in GS debut,"Andrew Wiggins, who was acquired Thursday from the Timberwolves, scored 24 points and added five steals in his debut with the Warriors on Saturday. Golden State lost 125-120 to the Lakers.",https://www.espn.com/nba/story/_/id/28662875/andrew-wiggins-scores-24-points-debut-warriors,2020-02-09T04:37:20Z,"SAN FRANCISCO -- Andrew Wiggins scored 24 points and had five steals in his debut for the Golden State Warriors during a 125-120 loss to the Los Angeles Lakers on Saturday night.
The veteran swingman went 8-for-12 from the field in 31 minutes. The 24-year-ol… [+1331 chars]",espn.com
176,Can Zach LaVine be the star the Bulls need?,"Dwyane Wade had high praise for the young guard, tweeting 'Zach LaVine is a problem.' But so is the Bulls' losing record.",https://www.espn.com/nba/story/_/id/28662206/can-zach-lavine-star-bulls-need,2020-02-09T02:26:27Z,"CHICAGO -- ZACH LaVINE had a vision.
The All-Star Game was set to return to Chicago and LaVine would be there, representing the hometown Chicago Bulls. He said that was the goal before the season tipped off. LaVine played some of the best basketball of his c… [+9644 chars]",espn.com
197,Director Spike Lee honors Kobe Bryant with outfit at Academy Awards - ESPN,Director Spike Lee honors Kobe Bryant with outfit at Academy Awards ESPN Is it safe to speak the truth about Kobe Bryant? New York Post How Kobe Bryant Will Be Honored at 2020 Oscars msnNOW Oscars 2020: Spike Lee Wears Kobe Bryant-Inspired Suit (Photo) TheWra…,https://www.espn.com/nba/story/_/id/28667822/director-spike-lee-honors-kobe-bryant-outfit-academy-awards,2020-02-09T23:44:15Z,"Spike Lee is attending the Oscars in a suit honoring the late Kobe Bryant.
Lee arrived to Sunday's Academy Awards wearing a purple-and-gold suit with Bryant's No. 24 on the lapels and the back.
Respect. #Oscarspic.twitter.com/CxlWD2tmFW
 The Academy (@TheA… [+394 chars]",espn.com
198,Sources: Collison staying retired despite interest,"After retiring prior to summer free agency last year, veteran guard Darren Collison considered a midseason return to the NBA with the Lakers or Clippers -- but has decided to stay retired, league sources told ESPN.",https://www.espn.com/nba/story/_/id/28667815/sources-darren-collison-return-nba-season-interest-lakers-clippers,2020-02-09T23:35:02Z,"After retiring prior to summer free agency last year, veteran guard Darren Collison considered a midseason return to the NBA with the Los Angeles Lakers or the Clippers -- but has decided to stay retired, league sources told ESPN.
Collison had been weighing … [+1544 chars]",espn.com
203,"Kawhi, Beverley to sit out game against Cavaliers","The Clippers, who are playing the second game of a back-to-back, have been monitoring Kawhi Leonard's workload all season.",https://www.espn.com/nba/story/_/id/28667502/kawhi-leonard-patrick-beverley-sit-game-cavaliers,2020-02-09T22:52:58Z,"CLEVELAND -- LA Clippers star Kawhi Leonard is out because of a sore left knee against the Cleveland Cavaliers on Sunday night.
The Clippers have been monitoring the workload for Leonard, who will miss his 13th game of the season. Los Angeles is playing the … [+433 chars]",espn.com
204,Grizzlies waive Waiters days after Heat trade,"Dion Waiters, acquired in a three-team trade from Miami, has only played three games this season following a host of suspensions.",https://www.espn.com/nba/story/_/id/28667378/grizzlies-waive-dion-waiters-days-heat-trade,2020-02-09T22:21:06Z,"The Memphis Grizzlies have waived Dion Waiters, the team announced Sunday.
Memphis acquired the guard as part of a three-team trade with the Miami Heat and Minnesota Timberwolves on Thursday.
Waiters only played three games for the Heat following three susp… [+306 chars]",espn.com
208,"Follow live: Celtics, Thunder put win streaks on the line",Get a summary of the Boston Celtics vs. Oklahoma City Thunder basketball game.,https://www.espn.com/nba/game?gameId=401161428,2020-02-09T20:11:55Z,"Philadelphia rookie Matisse Thybulle is Boomers-eligible, which means an Olympic berth isn't out of the question, but his focus remains of the 76ers' somewhat frustrating season, writes Kane Pitman.",espn.com
